time_s,tau_control_x,tau_control_y,tau_control_z,tau_aero_x,tau_aero_y,tau_aero_z,tau_total_x,tau_total_y,tau_total_z
49,8.75824526613364e-05,8.69970155967728e-05,-8.71087780864363e-05,-7.66048041196566e-08,6.49928169853012e-07,-4.588203698803e-07,8.75058478572167e-05,8.76469437666258e-05,-8.75675984563166e-05
50,7.94072498077682e-05,7.88147010429478e-05,-7.89262672277828e-05,-8.06890355368693e-08,6.48511620091913e-07,-4.59237413834947e-07,7.93265607722313e-05,7.94632126630397e-05,-7.93855046416177e-05
51,7.14640198660012e-05,7.08644889082485e-05,-7.09757899998012e-05,-8.48699147524832e-08,6.46865290572126e-07,-4.59533487219607e-07,7.13791499512488e-05,7.15113541988207e-05,-7.14353234870208e-05
52,6.37463903414452e-05,6.31400075360492e-05,-6.32509746543217e-05,-8.91442718198441e-08,6.44986136699045e-07,-4.59705503655735e-07,6.36572460696254e-05,6.37849936727482e-05,-6.37106801579774e-05
53,5.62481912537143e-05,5.56350879517649e-05,-5.57456521423601e-05,-9.3508649570799e-08,6.42871544198478e-07,-4.59750567904556e-07,5.61546826041435e-05,5.62779594959633e-05,-5.62054027102647e-05
54,4.8963455136626e-05,4.83437638628496e-05,-4.84538561141161e-05,-9.79593068584997e-08,6.40519340853553e-07,-4.59665984772607e-07,4.88654958297675e-05,4.89842832037031e-05,-4.89135220988887e-05
55,4.18864170382029e-05,4.12602716587985e-05,-4.1369822918975e-05,-1.02492223127662e-07,6.37927807482603e-07,-4.59449267953743e-07,4.17839248150752e-05,4.18981994662811e-05,-4.18292721869288e-05
56,3.50115145206703e-05,3.43790504111465e-05,-3.44879916055064e-05,-1.07103104518176e-07,6.35095689123538e-07,-4.59098149519925e-07,3.49044114161521e-05,3.501414610027e-05,-3.49470897550263e-05
57,2.83333869987597e-05,2.76947412105029e-05,-2.78030032592854e-05,-1.11787390411898e-07,6.32022199840953e-07,-4.58610585308217e-07,2.82215996083478e-05,2.83267634103439e-05,-2.82616138445936e-05
58,2.18468553773161e-05,2.12021667668935e-05,-2.13096806251131e-05,-1.16540266760722e-07,6.28707035125181e-07,-4.5798476762952e-07,2.17303151105554e-05,2.18308738020187e-05,-2.17676653927426e-05
59,1.55469723818614e-05,1.48963818429635e-05,-1.5003078473262e-05,-1.2135668445442e-07,6.25150368102993e-07,-4.57219128864975e-07,1.5425615697407e-05,1.55215322110665e-05,-1.5460297602127e-05
60,9.42896443781836e-06,8.77261502206419e-06,-8.8784254382966e-06,-1.26231358878293e-07,6.21352861530225e-07,-4.56312349313608e-07,9.30273307894007e-06,9.39396788359442e-06,-9.33473778761021e-06
61,3.48820233217516e-06,2.82623931330793e-06,-2.9310946597777e-06,-1.31158779682942e-07,6.17315673742668e-07,-4.55263364416172e-07,3.35704355249222e-06,3.4435549870506e-06,-3.38635802419387e-06
62,-2.27979878651414e-06,-2.94722784843088e-06,2.84339621773786e-06,-1.36133224916689e-07,6.13040461477811e-07,-4.54071371347119e-07,-2.41593201143083e-06,-2.33418738695306e-06,2.38932484639074e-06
63,-7.87937940813037e-06,-8.55212460251645e-06,8.44938504469654e-06,-1.41148776452424e-07,6.08529380971754e-07,-4.52735834888161e-07,-8.02052818458279e-06,-7.9435952215447e-06,7.99664920980838e-06
64,-1.33147356609896e-05,-1.39926446625513e-05,1.38910651665479e-05,-1.46199336902513e-07,6.03785088283973e-07,-4.51256493283077e-07,-1.34609349978922e-05,-1.33888595742673e-05,1.34398086732648e-05
65,-1.8589919311842e-05,-1.9272837316376e-05,1.91724854237459e-05,-1.51278646447739e-07,5.98810732552502e-07,-4.49633359350815e-07,-1.87411979582897e-05,-1.86740265838235e-05,1.87228520643951e-05
66,-2.37088489272941e-05,-2.43966186234642e-05,2.42975613411569e-05,-1.5638030411322e-07,5.93609956913877e-07,-4.47866728190768e-07,-2.38652292314073e-05,-2.38030086665503e-05,2.38496946129661e-05
67,-2.86752968044943e-05,-2.93677583268722e-05,2.92700620709339e-05,-1.61497796657919e-07,5.88186878544624e-07,-4.45957173506923e-07,-2.88367946011522e-05,-2.87795714483276e-05,2.88241048974269e-05
68,-3.34928812511251e-05,-3.41898720878141e-05,3.40936026289777e-05,-1.66624514184216e-07,5.82546084277546e-07,-4.43905549888589e-07,-3.36595057653093e-05,-3.36073260035365e-05,3.36496970790891e-05
69,-3.81651204979131e-05,-3.88664755412933e-05,3.87716978922464e-05,-1.71753764370201e-07,5.76692626199458e-07,-4.41712994619645e-07,-3.83368742622833e-05,-3.82897829150939e-05,3.83299848976268e-05
70,-4.26954341528462e-05,-4.34009857544935e-05,4.3307764055735e-05,-1.76878794782343e-07,5.70632009215822e-07,-4.39380926825852e-07,-4.28723129476285e-05,-4.28303537452777e-05,4.28683831289092e-05
71,-4.70871432011737e-05,-4.77967212267778e-05,4.77051186324746e-05,-1.81992816135764e-07,5.64370177425505e-07,-4.36911046144788e-07,-4.72691360173095e-05,-4.72323510493522e-05,4.72682075863298e-05
72,-5.13434700054067e-05,-5.2056901889689e-05,5.19669804535333e-05,-1.87089024373952e-07,5.57913493562287e-07,-4.34305326380086e-07,-5.15305590297806e-05,-5.14989883961267e-05,5.15326751271532e-05
73,-5.5467538305318e-05,-5.61846491069496e-05,5.60964696680161e-05,-1.92160626116426e-07,5.5126872625725e-07,-4.3156601549225e-07,-5.56596989314344e-05,-5.56333803806924e-05,5.56649036525239e-05
74,-5.94623732179413e-05,-6.01829856744627e-05,6.00966077430642e-05,-1.97200861085744e-07,5.44443025588042e-07,-4.28695626773839e-07,-5.9659574079027e-05,-5.96385426488747e-05,5.96679121162904e-05
75,-6.33309128479042e-05,-6.40548474824687e-05,6.39703291366844e-05,-2.02203026994209e-07,5.37443900553585e-07,-4.25696932128162e-07,-6.35331158748984e-05,-6.35174035819151e-05,6.35446322045562e-05
76,-6.70759894912598e-05,-6.780306468207e-05,6.77204625105631e-05,-2.07160512095093e-07,5.3027918332432e-07,-4.22572949086531e-07,-6.72831500033548e-05,-6.72727854987457e-05,6.72978895614766e-05
77,-7.07003316948575e-05,-7.14303637110939e-05,7.13497327231719e-05,-2.12066811492618e-07,5.22957010306723e-07,-4.19326933621257e-07,-7.09123985063501e-05,-7.09074067007872e-05,7.09304057895507e-05
78,-7.42066029419402e-05,-7.49394061065401e-05,7.48607996258993e-05,-2.16915544214953e-07,5.15485803056234e-07,-4.15962373111937e-07,-7.44235184861552e-05,-7.44239203034839e-05,7.44448372527874e-05
79,-7.75974020121603e-05,-7.83327888659301e-05,7.82562584244054e-05,-2.2170047370735e-07,5.07874236570672e-07,-4.12482972038773e-07,-7.78191024858677e-05,-7.78249146293595e-05,7.78437754523667e-05
80,-8.0875262981581e-05,-8.16130444473088e-05,8.15386396786223e-05,-2.2641553130386e-07,5.00131215497112e-07,-4.08892643944403e-07,-8.11016785128848e-05,-8.11129132318117e-05,8.11297470346779e-05
81,-8.40426552226757e-05,-8.47826407692432e-05,8.47104093027541e-05,-2.31054834980973e-07,4.92265840353944e-07,-4.05195495166481e-07,-8.42737100576567e-05,-8.42903749288892e-05,8.43052138075876e-05
82,-8.71019834043281e-05,-8.78439812108233e-05,8.77739685652774e-05,-2.35612708886885e-07,4.84287377598906e-07,-4.01395811392793e-07,-8.7337596113215e-05,-8.73596938332244e-05,8.73725727538846e-05
83,-9.00555874918322e-05,-9.07994046116616e-05,9.07316540889402e-05,-2.40083701281225e-07,4.76205228282059e-07,-3.97498042743144e-07,-9.02956711931134e-05,-9.03231993833795e-05,9.0334156046197e-05
84,-9.29057450854148e-05,-9.365118761823e-05,9.35857402046511e-05,-2.4446260104858e-07,4.68028896586863e-07,-3.93506788301255e-07,-9.31502076864634e-05,-9.31831587216432e-05,9.31922334163499e-05
85,-9.56546779162444e-05,-9.64015512138945e-05,9.63384455709653e-05,-2.48744456788563e-07,4.59767951617163e-07,-3.89426777002778e-07,-9.5903422373033e-05,-9.59417832622773e-05,9.59490187939625e-05
86,-9.83045222812566e-05,-9.90526310544498e-05,9.89919034593815e-05,-2.52924594740481e-07,4.51431989099452e-07,-3.85262848078356e-07,-9.8557446875997e-05,-9.86011990653503e-05,9.86066406113032e-05
87,-0.000100857366271351,-0.000101606514789616,0.000101548199071222,-2.56998619722694e-07,4.43030611565012e-07,-3.81019938154841e-07,-0.000101114364891074,-0.000101163484178051,0.000101167179133067
88,-0.000103315256657718,-0.000104065248969639,0.00010400937645406,-2.60962427585705e-07,4.34573404132876e-07,-3.7670306926163e-07,-0.000103576219085303,-0.000103630675565506,0.000103632673384799
89,-0.000105680198891837,-0.000106430839045286,0.000106377438501722,-2.64812212667812e-07,4.26069901194735e-07,-3.72317329105827e-07,-0.000105945011104505,-0.000106004769144091,0.000106005121172616
90,-0.00010795415710548,-0.000108705249367849,0.000108654346954283,-2.68544475790293e-07,4.17529557988703e-07,-3.67867854786469e-07,-0.00010822270158127,-0.00010828771980986,0.000108286479099497
91,-0.000110139054110708,-0.000110890403189142,0.000110842022398072,-2.72156030132855e-07,4.08961722395169e-07,-3.63359815950259e-07,-0.00011041121014084,-0.000110481441466747,0.000110478662582122
92,-0.000112236771399873,-0.000112988182661504,0.000112942344265669,-2.75644005432709e-07,4.00375607920238e-07,-3.58798398180207e-07,-0.000112512415405305,-0.000112587807053584,0.000112583545867489
93,-0.000114249149145617,-0.000115000428837798,0.000114957150835903,-2.79005851030448e-07,3.91780268714195e-07,-3.54188787356572e-07,-0.000114528154996648,-0.000114608648569084,0.000114602962048547
94,-0.000116177987637549,-0.000116928943105301,0.000116888240678937,-2.82239334631113e-07,3.83184572957192e-07,-3.49536151501008e-07,-0.00011646022697218,-0.000116545758532344,0.000116538704527436
95,-0.000118025049780876,-0.000118775489632426,0.000118737375234671,-2.85342546558712e-07,3.74597180024525e-07,-3.44845626971587e-07,-0.000118310392327435,-0.000118400892452402,0.000118392529607699
96,-0.000119792039395697,-0.000120541773671263,0.000120506257023709,-2.88313899551366e-07,3.66026506442742e-07,-3.40122295698588e-07,-0.000120080353295248,-0.00012017574716482,0.00012016613472801
97,-0.000121480628599094,-0.00012222946896888,0.000122196557060597,-2.91152118072938e-07,3.57480723827262e-07,-3.35371180246788e-07,-0.000121771780717167,-0.000121871988245053,0.00012186118588035
98,-0.000123092462911181,-0.000123840222872266,0.000123809919976646,-2.93856232740959e-07,3.48967743660359e-07,-3.30597231810088e-07,-0.000123386319143922,-0.000123491255128606,0.000123479322744836
99,-0.000124629161255097,-0.000125375656328324,0.000125347964019933,-2.96425574569061e-07,3.40495201485318e-07,-3.25805317755103e-07,-0.000124925586829666,-0.000125035161126839,0.000125022158702178
100,-0.000126092315957011,-0.000126837363883877,0.000126812281055303,-2.98859768024418e-07,3.32070442920608e-07,-3.21000209983085e-07,-0.000126391175725036,-0.000126505293440956,0.00012649128084532
101,-0.000127483492746121,-0.000128226913685662,0.000128204436564365,-3.01158723542979e-07,3.23700512091648e-07,-3.16186574722846e-07,-0.000127784651469664,-0.000127903213173571,0.000127888249989642
