T,x,y,z,vx,vy,vz,omega0,omega1,omega2,omega3,wx,wy,wz
42,6612969.85406738,325747.233942838,-0.027110349923155,-382.310935449692,7749.6131780989,-0.00129070919916271,0.5,-0.5,-0.5,0.5,0,0,0
43,6612582.9955638,333496.621332229,-0.0284164120391348,-391.405983435369,7749.15982430952,-0.00132141473476047,0.5,-0.5,-0.5,0.5,0,0,0
44,6612187.04227915,341245.550038704,-0.0297531787895728,-400.500495511986,7748.69581239765,-0.00135211846107874,0.5,-0.5,-0.5,0.5,0,0,0
45,6611781.99475556,348994.009404478,-0.0311206483441746,-409.594459227236,7748.22114299287,-0.00138282033607753,0.5,-0.5,-0.5,0.5,0,0,0
46,6611367.85354763,356741.988772402,-0.032518818830608,-418.687862129585,7747.73581673921,-0.00141352031771954,0.5,-0.5,-0.5,0.5,0,0,0
47,6610944.61922239,364489.477485948,-0.0339476883344965,-427.780691768058,7747.23983429518,-0.00144421836396904,0.5,-0.5,-0.5,0.5,0,0,0
48,6610512.29235933,372236.464889213,-0.0354072548994191,-436.872935692321,7746.73319633374,-0.00147491443279226,0.5,-0.5,-0.5,0.5,0,0,0
49,6610070.87355039,379982.940327012,-0.0368975165269309,-445.964581452921,7746.21590354233,-0.00150560848215857,0.5,-0.5,-0.5,0.5,0,0,0
50,6609620.36339996,387728.893144877,-0.0384184711765639,-455.05561660129,7745.68795662281,-0.00153630047004044,0.5,-0.5,-0.5,0.5,0,0,0
51,6609160.76252488,395474.312689061,-0.0399701167658272,-464.146028689743,7745.14935629152,-0.00156699035441346,0.5,-0.5,-0.5,0.5,0,0,0
52,6608692.07155442,403219.188306542,-0.0415524511702078,-473.235805271485,7744.60010327923,-0.00159767809325634,0.5,-0.5,-0.5,0.5,0,0,0
53,6608214.29113032,410963.509345021,-0.0431654722231695,-482.324933900453,7744.04019833119,-0.00162836364455006,0.5,-0.5,-0.5,0.5,0,0,0
54,6607727.42190675,418707.265152889,-0.0448091777161401,-491.413402131225,7743.46964220711,-0.00165904696627743,0.5,-0.5,-0.5,0.5,0,0,0
